read2_code,icd10_code,phecode
AB0y.,B35.8,110.1
AB0z.,B35.9,110.1
AB10.,B36.0,110.2
AB11.,B36.1,110.2
AB12.,B36.2,110.2
AB1X.,B36.9,110.1
AB1z.,B36.9,110.1
AB2..,B37.9,112.0
AB200,B37.0,112.0
AB201,B37.8,112.0
AB202,B37.8,112.0
AB21.,B37.3,112.0
AB210,B37.3,112.0
AB211,B37.3,112.0
AB21z,B37.3,112.0
AB22.,B37.4,112.0
AB221,B37.8,112.0
AB22z,B37.4,112.0
AB23.,B37.2,112.3
AB230,B37.2,112.3
AB231,B37.2,112.3
AB232,B37.2,112.3
AB233,B37.2,112.3
AB23z,B37.2,112.3
AB2y4,B37.8,112.0
AB2yz,B37.8,112.0
AB2z.,B37.9,112.0
AB52.,B48.0,117.3
AB6..,B48.8,117.0
AB61.,B42.9,117.0
AB63.,B44.9,117.4
AB6z.,B48.8,117.0
AC...,B83.9,134.0
AC0..,B65.9,134.0
AC01.,B65.1,134.0
AC0z.,B65.9,134.0
AC1..,B66.9,134.0
AC13.,B66.3,134.0
AC2..,B67.9,134.1
AC3..,B71.9,134.1
AC32.,B68.1,134.1
AC33.,B68.9,134.1
AC4..,B75,134.1
AC5..,B74.9,134.0
AC53.,B73,134.0
AC5z.,B74.9,134.0
AC6z0,B76.9,134.0
AC7..,B81.8,134.1
AC70.,B77.9,134.1
AC70X,B77.9,134.1
AC71.,B81.0,134.1
AC72.,B78.9,134.1
AC73.,B79,134.1
AC74.,B80,134.1
AC75.,B81.1,134.1
AC7x.,B81.8,134.1
AC7z.,B82.0,134.1
AC80.,B83.0,134.0
AC8z.,B83.9,134.0
AD0..,B58.9,131.0
AD0z.,B58.9,131.0
AD1..,A59.9,131.0
AD10.,A59.0,131.0
AD1z.,A59.9,131.0
AD2..,B85.4,132.1
AD20.,B85.0,132.1
AD21.,B85.1,132.1
AD22.,B85.3,132.1
AD2X.,B85.2,132.1
AD30.,B86,132.0
AD3y.,B88.0,132.0
AD41.,B88.2,132.0
AD5..,D86.9,697.0
AD50.,D86.0,697.0
AD51.,D86.1,697.0
AD53.,D86.3,697.0
AD530,D86.3,697.0
AD54.,D86.8,697.0
AD6..,B88.9,132.0
AD61.,M35.2,711.3
AD67.,B60.1,136.0
AD6z.,B99,136.0
AD6zW,B89,136.0
AE00.,B90.9,10.0
AE1..,B91,324.0
AE20.,B94.1,323.0
Ayu03,A02.9,8.5
Ayu0E,A08.3,8.6
Ayu1.,A19.9,10.0
Ayu13,A16.9,10.0
Ayu36,A35,41.0
Ayu45,A51.4,90.0
Ayu4A,A53.9,90.0
Ayu4D,A56.8,90.3
Ayu4L,A63.0,78.0
Ayu4M,A63.0,78.0
Ayu62,A74.9,79.0
Ayu8B,A86,323.0
Ayu8D,A87.9,320.0
AyuB0,B17.8,70.0
AyuC.,B24,71.1
AyuCD,B24,71.1
AyuDG,B34.9,79.0
AyuE0,B35.8,110.1
AyuE1,B35.9,110.1
AyuKN,B97.4,79.0
B00..,C00.9,145.1
B007.,C00.9,145.1
B01..,C02.9,145.2
B010.,C01,145.2
B01z.,C02.9,145.2
B02..,C08.9,145.3
B020.,C07,145.3
B022.,C08.1,145.3
B04..,C04.9,145.5
B040.,C04.0,145.5
B04z.,C04.9,145.5
B05..,C06.9,145.0
B053.,C05.1,145.0
B054.,C05.2,145.0
B057.,C06.8,145.0
B057.,C06.8,149.0
B057.,C06.8,195.1
B05y.,C06.9,145.0
B05z.,C06.9,145.0
B06..,C10.9,149.1
B060.,C09.9,149.1
B060z,C09.9,149.1
B061.,C09.0,149.1
B063.,C10.0,149.1
B064z,C10.1,149.1
B06y.,C10.9,149.1
B06z.,C10.9,149.1
B07..,C11.9,149.2
B0710,C11.1,149.2
B07z.,C11.9,149.2
B08..,C13.9,149.3
B083.,C13.2,149.3
B0z0.,C14.0,149.0
B0z2.,C13.9,149.3
B0zz.,C14.8,149.0
B10..,C15.9,150.0
B104.,C15.4,150.0
B105.,C15.5,150.0
B10y.,C15.9,150.0
B10z.,C15.9,150.0
B11..,C16.9,151.0
B110.,C16.0,151.0
B111.,C16.4,151.0
B1110,C16.4,151.0
B114.,C16.2,151.0
B118.,C16.0,151.0
B119.,C16.2,151.0
B11z.,C16.9,151.0
B12..,C17.9,159.2
B120.,C17.0,159.2
B121.,C17.1,159.2
B122.,C17.2,159.2
B12z.,C17.9,159.2
B13..,C18.9,153.2
B130.,C18.3,153.2
B131.,C18.4,153.2
B132.,C18.6,153.2
B133.,C18.7,153.2
B134.,C18.0,153.2
B135.,C18.1,153.2
B136.,C18.2,153.2
B137.,C18.5,153.2
B13z.,C18.9,153.2
B140.,C19,153.3
B141.,C20,153.3
B142.,C21.1,153.3
B143.,C21.0,153.3
B14z.,C21.8,153.0
B15..,C22.9,155.0
B150.,C22.9,155.0
B1500,C22.9,155.0
B1503,C22.0,155.1
B151.,C22.1,155.0
B151z,C22.1,155.0
B152.,C22.9,155.0
B153.,C78.7,198.4
B160.,C23,159.3
B1611,C24.0,159.3
B161z,C24.0,159.3
B162.,C24.1,159.3
B16z.,C24.9,159.3
B17..,C25.9,157.0
B170.,C25.0,157.0
B171.,C25.1,157.0
B172.,C25.2,157.0
B17z.,C25.9,157.0
B18..,C48.8,159.4
B180.,C48.0,159.4
B181.,C45.1,159.4
B18y.,C48.1,159.4
B18y3,C48.1,159.4
B18yz,C48.1,159.4
B18z.,C48.8,159.4
B1z0.,C26.0,153.2
B2...,C39.9,165.0
B200z,C30.0,149.9
B202.,C31.0,149.9
B20y.,C31.9,149.9
B21..,C32.9,149.4
B210.,C32.0,149.4
B211.,C32.1,149.4
B213.,C32.3,149.4
B2133,C32.3,149.4
B215.,C32.1,149.4
B21y.,C32.9,149.4
B21z.,C32.9,149.4
B22..,C34.9,165.1
B220z,C33,165.1
B221.,C34.0,165.1
B2211,C34.0,165.1
B221z,C34.0,165.1
B222.,C34.1,165.1
B2220,C34.1,165.1
B2221,C34.1,165.1
B222z,C34.1,165.1
B223.,C34.2,165.1
B2231,C34.2,165.1
B223z,C34.2,165.1
B224.,C34.3,165.1
B2241,C34.3,165.1
B224z,C34.3,165.1
B226.,C45.9,195.1
B22y.,C34.9,165.1
B22z.,C34.9,165.1
B23..,C38.4,165.0
B232.,C45.0,165.0
B240.,C37,164.0
B30..,C41.9,170.1
B300.,C41.0,170.1
B300A,C41.0,170.1
B301.,C41.1,170.1
B3020,C41.2,170.1
