ctv3_code,icd10_code,phecode
B010.,C01,145.2
B012.,C02.1,145.2
B016.,C02.4,145.2
B01z.,C02.9,145.2
B02..,C08.9,145.3
B020.,C07,145.3
B021.,C08.0,145.3
B03..,C03.9,145.4
B03y.,C03.9,145.4
B04..,C04.9,145.5
B040.,C04.0,145.5
B05..,C06.8,145
B05..,C06.8,149
B05..,C06.8,195.1
B050.,C06.0,145
B053.,C05.1,145
B0551,C05.9,145
B056.,C06.2,145
B057.,C06.8,145
B057.,C06.8,149
B057.,C06.8,195.1
B05z.,C06.9,145
B06..,C10.9,149.1
B060.,C09.9,149.1
B060z,C09.9,149.1
B061.,C09.0,149.1
B062.,C09.1,149.1
B06z.,C10.9,149.1
B07..,C11.9,149.2
B071.,C11.1,149.2
B0710,C11.1,149.2
B0720,C11.2,149.2
B08..,C13.9,149.3
B081.,C12,149.3
B08z.,C13.9,149.3
B0z..,C14.8,149
B0z0.,C14.0,149
B0zz.,C14.8,149
B10..,C15.9,150
B100.,C15.0,150
B101.,C15.1,150
B103.,C15.3,150
B104.,C15.4,150
B105.,C15.5,150
B106.,C15.8,150
B10z.,C15.9,150
B110.,C16.0,151
B1100,C16.0,151
B1101,C16.0,151
B110z,C16.0,151
B111.,C16.4,151
B111z,C16.4,151
B112.,C16.3,151
B114.,C16.2,151
B115.,C16.5,151
B116.,C16.6,151
B11z.,C16.9,151
B12..,C17.9,159.2
B120.,C17.0,159.2
B121.,C17.1,159.2
B122.,C17.2,159.2
B12z.,C17.9,159.2
B13..,C18.9,153.2
B130.,C18.3,153.2
B131.,C18.4,153.2
B132.,C18.6,153.2
B133.,C18.7,153.2
B134.,C18.0,153.2
B135.,C18.1,153.2
B136.,C18.2,153.2
B137.,C18.5,153.2
B13y.,C18.9,153.2
B13z.,C18.9,153.2
B14..,C21.8,153
B140.,C19,153.3
B141.,C20,153.3
B143.,C21.0,153.3
B14z.,C21.8,153
B150.,C22.9,155
B1500,C22.0,155.1
B1503,C22.0,155.1
B150z,C22.9,155
B1513,C22.1,155
B151z,C22.1,155
B152.,C22.9,155
B16..,C24.9,159.3
B161.,C24.0,159.3
B1611,C24.0,159.3
B162.,C24.1,159.3
B163.,C24.8,159.3
B16y.,C24.9,159.3
B16z.,C24.9,159.3
B17..,C25.9,157
B170.,C25.0,157
B171.,C25.1,157
B172.,C25.2,157
B173.,C25.3,157
B17z.,C25.9,157
B18..,C48.8,159.4
B180.,C48.0,159.4
B182.,C48.8,159.4
B18y.,C78.6,198.3
B18y3,C48.1,159.4
B18y5,C48.1,159.4
B18yz,C48.1,159.4
B1z0.,C26.0,153.2
B1zz.,C26.9,159
B2002,C30.0,149.9
B2003,C30.0,149.9
B2013,C30.1,149.9
B201z,C30.1,149.9
B203.,C31.1,149.9
B205.,C31.3,149.9
B21..,C32.9,149.4
B210.,C32.0,149.4
B211.,C32.1,149.4
B212.,C32.2,149.4
B213.,C32.3,149.4
B213z,C32.3,149.4
B21y.,C32.9,149.4
B21z.,C32.9,149.4
B221.,C34.0,165.1
B2210,C34.0,165.1
B2211,C34.0,165.1
B221z,C34.0,165.1
B2220,C34.1,165.1
B2221,C34.1,165.1
B222z,C34.1,165.1
B223.,C34.2,165.1
B2231,C34.2,165.1
B224.,C34.3,165.1
B2240,C34.3,165.1
B2241,C34.3,165.1
B224z,C34.3,165.1
B225.,C34.8,165.1
B22y.,C34.9,165.1
B22z.,C34.9,165.1
B23..,C38.4,165
B240.,C37,164
B26..,C39.8,165
B2z..,C39.9,165
B3001,C41.0,170.1
B301.,C41.1,170.1
B302.,C79.5,198.6
B3022,C79.5,198.6
B302z,C41.2,170.1
B303.,C79.5,198.6
B3030,C41.3,170.1
B304.,C40.0,170.1
B306.,C79.5,198.6
B3070,C40.2,170.1
B30z.,C41.9,170.1
B3101,C49.0,170.2
B310z,C49.0,170.2
B3121,C49.2,170.2
B3123,C49.2,170.2
B3124,C49.2,170.2
B31y.,C49.9,170.2
B31z.,C49.9,170.2
B32..,C43.9,172.11
B3220,C43.2,172.11
B322z,C43.2,172.11
B323.,C43.3,172.11
B3230,C43.3,172.11
B3233,C43.3,172.11
B3234,C43.3,172.11
B3235,C43.3,172.11
B323z,C43.3,172.11
B324.,C43.4,172.11
B3240,C43.4,172.11
B3241,C43.4,172.11
B325.,C43.5,172.11
B3250,C43.5,172.11
B3251,C43.5,172.11
B3252,C43.5,172.11
B3253,C43.5,172.11
B3254,C43.5,172.11
B3255,C43.5,172.11
B325z,C43.5,172.11
B326.,C43.6,172.11
B3260,C43.6,172.11
B3261,C43.6,172.11
B3262,C43.6,172.11
B3263,C43.6,172.11
B3264,C43.6,172.11
B3265,C43.6,172.11
B327.,C43.7,172.11
B3270,C43.7,172.11
B3271,C43.7,172.11
B3272,C43.7,172.11
B3273,C43.7,172.11
B3274,C43.7,172.11
B3275,C43.7,172.11
B3276,C43.7,172.11
B3277,C43.7,172.11
B3278,C43.7,172.11
B3279,C43.7,172.11
